ID,image_name,time,place,temperature,humidity,sun_light,soil_moist,API_health,API_water,API_water_def,validation,soil_validation
127,2025-07-17T12:31:19_Uni.jpg,2025-07-17T12:31:19,Uni,30.9,36.8,102480.0,35.48,68.2,9.1,0,yes,B
128,2025-07-17T12:31:44_Uni.jpg,2025-07-17T12:31:44,Uni,30.8,36.6,102480.0,0.0,85.0,15.0,0,yes,A
129,2025-07-17T12:32:20_Uni.jpg,2025-07-17T12:32:20,Uni,30.8,41.2,102480.0,0.0,41.1,21.1,5.9,yes,A
130,2025-07-17T12:32:39_Uni.jpg,2025-07-17T12:32:39,Uni,31.0,40.8,102480.0,13.88,93.6,4.8,0,yes,A
131,2025-07-17T12:37:57_Uni.jpg,2025-07-17T12:37:57,Uni,31.5,35.3,108946.0,0.0,37.0,43.0,0,yes,A
132,2025-07-17T12:38:42_Uni.jpg,2025-07-17T12:38:42,Uni,31.2,34.5,108946.0,0.0,11.1,83.5,53.9,yes,A
133,2025-07-17T12:39:12_Uni.jpg,2025-07-17T12:39:12,Uni,31.2,35.4,108946.0,0.0,13.1,59.3,33.2,yes,A
134,2025-07-17T12:39:38_Uni.jpg,2025-07-17T12:39:38,Uni,31.1,36.4,108946.0,0.0,30.1,54.9,25.4,yes,A
135,2025-07-17T12:40:10_Uni.jpg,2025-07-17T12:40:10,Uni,31.3,36.4,108946.0,46.43,5.5,86.0,57.5,yes,B
136,2025-07-17T12:40:35_Uni.jpg,2025-07-17T12:40:35,Uni,31.5,34.9,108946.0,0.0,3.8,86.4,61.5,yes,A
137,2025-07-17T23:34:13_Home.jpg,2025-07-17T23:34:13,Home,22.56,57.37,0.0,38.42,32.3,85.2,36.7,no,B
138,2025-07-17T23:53:31_Home.jpg,2025-07-17T23:53:31,Home,22.57,57.95,0.0,46.92,10.5,91.5,55.4,no,B
139,2025-07-18T08:39:19_Uni.jpg,2025-07-18T08:39:19,Uni,22.58,67.99,47702.0,47.31,13.3,21.3,5.1,no,B
140,2025-07-18T08:41:07_Uni.jpg,2025-07-18T08:41:07,Uni,22.96,68.46,47702.0,45.06,41.6,4.8,0,no,B
141,2025-07-18T08:41:35_Uni.jpg,2025-07-18T08:41:35,Uni,23.21,66.68,47702.0,45.85,38.9,20.7,0,no,B
142,2025-07-18T08:42:10_Uni.jpg,2025-07-18T08:42:10,Uni,23.25,64.77,47702.0,46.24,83.8,0,0,no,B
143,2025-07-18T08:42:35_Uni.jpg,2025-07-18T08:42:35,Uni,23.26,64.47,47702.0,39.78,41.2,16.3,3.6,no,B
144,2025-07-18T08:42:57_Uni.jpg,2025-07-18T08:42:57,Uni,23.24,65.2,47702.0,19.84,14.1,21.1,6.9,no,A
145,2025-07-18T08:43:48_Uni.jpg,2025-07-18T08:43:48,Uni,23.23,65.98,47702.0,38.12,48.7,14.5,7.7,no,B
146,2025-07-18T08:44:33_Uni.jpg,2025-07-18T08:44:33,Uni,23.59,65.45,47702.0,35.19,80.0,0,0,no,B
147,2025-07-18T08:45:07_Uni.jpg,2025-07-18T08:45:07,Uni,23.6,64.66,47702.0,46.33,71.4,6.5,0,no,B
148,2025-07-18T08:45:37_Uni.jpg,2025-07-18T08:45:37,Uni,23.52,64.43,49532.0,45.85,55.1,0,0,no,B
149,2025-07-18T08:46:15_Uni.jpg,2025-07-18T08:46:15,Uni,23.61,65.56,49532.0,49.95,49.6,15.7,7.3,no,B
150,2025-07-18T08:46:50_Uni.jpg,2025-07-18T08:46:50,Uni,23.62,63.7,49532.0,41.84,52.8,7.6,5.4,no,B
151,2025-07-18T08:47:49_Uni.jpg,2025-07-18T08:47:49,Uni,23.85,63.94,49532.0,38.71,57.6,18.0,4.2,no,B
152,2025-07-18T08:48:42_Uni.jpg,2025-07-18T08:48:42,Uni,23.93,64.33,49532.0,46.53,35.2,11.8,0,no,B
153,2025-07-18T08:49:14_Uni.jpg,2025-07-18T08:49:14,Uni,23.86,64.22,49532.0,26.2,84.4,5.0,0,no,B
154,2025-07-18T08:52:40_Uni.jpg,2025-07-18T08:52:40,Uni,23.76,63.46,49532.0,34.12,81.3,0,0,no,B
155,2025-07-18T08:53:06_Uni.jpg,2025-07-18T08:53:06,Uni,23.6,64.88,49532.0,42.03,72.8,0,0,no,B
156,2025-07-18T08:53:35_Uni.jpg,2025-07-18T08:53:35,Uni,23.86,64.87,49532.0,43.3,79.0,0,0,no,B
157,2025-07-18T08:54:30_Uni.jpg,2025-07-18T08:54:30,Uni,23.78,64.32,49532.0,41.45,37.2,12.6,8.2,no,B
158,2025-07-18T08:54:56_Uni.jpg,2025-07-18T08:54:56,Uni,23.99,64.99,49532.0,25.42,79.1,0,0,no,B
159,2025-07-18T08:55:23_Uni.jpg,2025-07-18T08:55:23,Uni,24.07,63.86,49532.0,37.34,66.1,7.6,0,no,B
160,2025-07-18T08:56:12_Uni.jpg,2025-07-18T08:56:12,Uni,24.05,64.24,49532.0,42.42,21.0,21.1,5.0,no,B
161,2025-07-18T08:56:35_Uni.jpg,2025-07-18T08:56:35,Uni,24.11,63.76,49532.0,63.44,95.0,3.3,0,no,B
162,2025-07-18T08:56:58_Uni.jpg,2025-07-18T08:56:58,Uni,24.38,64.54,49532.0,65.1,31.6,5.3,0,no,B
163,2025-07-18T08:57:44_Uni.jpg,2025-07-18T08:57:44,Uni,24.97,61.8,49532.0,36.56,57.5,0,0,no,B
164,2025-07-18T08:58:23_Uni.jpg,2025-07-18T08:58:23,Uni,25.09,62.63,49532.0,33.33,67.4,7.4,2.4,no,B
165,2025-07-18T08:58:50_Uni.jpg,2025-07-18T08:58:50,Uni,25.15,62.92,49532.0,30.5,67.5,8.8,0,no,B
166,2025-07-18T09:00:19_Uni.jpg,2025-07-18T09:00:19,Uni,25.43,60.55,55266.0,52.3,93.9,0,0,no,B
167,2025-07-18T09:01:04_Uni.jpg,2025-07-18T09:01:04,Uni,25.39,61.22,55266.0,59.43,86.5,3.6,0,no,B
168,2025-07-18T09:01:31_Uni.jpg,2025-07-18T09:01:31,Uni,25.38,60.88,55266.0,61.97,78.0,0,0,no,B
